tagId,time,x,y,z
200000662,14:21:29,5338,-452,1000
200000638,14:21:29,-262,-684,1000
200000641,14:21:29,-190,-965,1000
200000661,14:21:29,-963,-125,1000
200000639,14:21:29,6288,-2913,1000
200000640,14:21:30,2811,-1136,1000
200000654,14:21:30,-1321,-4994,1000
200000663,14:21:29,2728,328,1000
200000636,14:21:30,,,
200000662,14:21:30,5761,-29,1000
200000638,14:21:30,-1071,-1031,1000
200000641,14:21:30,-190,-965,1000
200000663,14:21:30,2658,854,1000
200000639,14:21:30,5781,-2727,1000
200000640,14:21:31,2811,-1136,1000
200000654,14:21:31,,,
200000661,14:21:30,-963,-125,1000
200000636,14:21:31,,,
200000662,14:21:31,5719,-1205,1000
200000638,14:21:31,-1464,-872,1000
200000641,14:21:31,587,-1074,1000
200000663,14:21:31,2427,637,1000
200000636,14:21:32,-1216,-2517,1000
200000639,14:21:32,6233,-2902,1000
200000640,14:21:32,2811,-1136,1000
200000654,14:21:32,-1321,-4994,1000
200000661,14:21:31,,,
200000662,14:21:32,5958,-350,1000
200000641,14:21:32,927,101,1000
200000638,14:21:32,,,
200000663,14:21:32,2444,251,1000
200000636,14:21:33,,,
200000639,14:21:33,5972,-2626,1000
200000640,14:21:33,2811,-1136,1000
200000654,14:21:33,-1464,-4291,1000
200000661,14:21:33,365,-411,1000
200000662,14:21:33,5838,-67,1000
200000641,14:21:33,393,297,1000
200000638,14:21:33,,,
200000663,14:21:33,2723,61,1000
200000636,14:21:34,623,-2161,1000
200000639,14:21:33,5384,-2617,1000
200000640,14:21:34,3075,-1638,1000
200000654,14:21:34,-1237,-4508,1000
200000661,14:21:34,1471,-1032,1000
200000662,14:21:34,5583,112,1000
200000638,14:21:34,,,
200000641,14:21:34,327,-577,1000
200000663,14:21:34,2723,61,1000
200000636,14:21:35,623,-2161,1000
200000639,14:21:34,5056,-2275,1000
200000640,14:21:35,2785,-1462,1000
200000654,14:21:35,-886,-4593,1000
200000661,14:21:34,1469,-1721,1000
200000662,14:21:35,5583,112,1000
200000638,14:21:35,,,
200000641,14:21:35,-317,-795,1000
200000663,14:21:35,2723,61,1000
200000639,14:21:35,4660,-1276,1000
200000640,14:21:36,2785,-1462,1000
200000654,14:21:36,-1458,-4197,1000
200000661,14:21:35,1416,-3017,1000
200000636,14:21:36,48,-2289,1000
200000662,14:21:36,5482,484,1000
200000638,14:21:36,,,
200000641,14:21:36,-20,-903,1000
200000663,14:21:36,2968,-270,1000
200000639,14:21:36,4464,-834,1000
200000654,14:21:36,-1693,-3683,1000
200000661,14:21:36,1920,-2894,1000
200000636,14:21:37,400,-1898,1000
200000640,14:21:37,2785,-1462,1000
200000662,14:21:37,,,
200000638,14:21:37,,,
200000641,14:21:37,599,-994,1000
200000663,14:21:37,3161,251,1000
200000639,14:21:37,4699,-347,1000
200000654,14:21:37,-1296,-3543,1000
200000661,14:21:37,3999,-2578,1000
200000636,14:21:38,920,-1927,1000
200000640,14:21:38,2785,-1462,1000
200000662,14:21:38,5760,5,1000
200000638,14:21:38,,,
200000641,14:21:38,343,412,1000
200000663,14:21:38,3161,251,1000
200000639,14:21:38,3887,147,1000
200000654,14:21:39,,,
200000661,14:21:38,2699,-2878,1000
200000636,14:21:39,1646,-1873,1000
200000640,14:21:39,2785,-1462,1000
200000662,14:21:39,5983,405,1000
200000638,14:21:39,,,
200000641,14:21:39,617,867,1000
200000663,14:21:39,3299,581,1000
200000639,14:21:39,3007,24,1000
200000654,14:21:40,,,
200000661,14:21:40,2156,-2863,1000
200000636,14:21:40,1178,-1566,1000
200000640,14:21:40,2785,-1462,1000
200000662,14:21:40,5983,405,1000
200000638,14:21:40,,,
200000641,14:21:40,821,-995,1000
200000663,14:21:40,3706,861,1000
200000639,14:21:40,2722,190,1000
200000654,14:21:41,,,
200000661,14:21:41,1513,-2625,1000
200000636,14:21:41,849,-1112,1000
200000640,14:21:41,2785,-1462,1000
200000662,14:21:41,5036,326,1000
200000638,14:21:41,-1843,-875,1000
200000641,14:21:41,,,
200000663,14:21:41,3110,692,1000
200000639,14:21:41,2461,-118,1000
200000654,14:21:42,-2127,-4967,1000
200000661,14:21:41,844,-2208,1000
200000636,14:21:42,847,-2106,1000
200000640,14:21:42,2785,-1462,1000
200000662,14:21:42,4670,-256,1000
200000638,14:21:42,-564,-759,1000
200000641,14:21:42,821,-995,1000
200000663,14:21:42,3165,187,1000
200000639,14:21:42,2326,228,1000
200000654,14:21:43,,,
200000661,14:21:42,1082,-2408,1000
200000662,14:21:43,4670,-256,1000
200000636,14:21:43,1015,-1620,1000
200000640,14:21:43,2785,-1462,1000
200000638,14:21:43,-1289,-658,1000
200000641,14:21:43,1233,-1275,1000
200000639,14:21:43,2126,460,1000
200000661,14:21:43,770,-2462,1000
200000663,14:21:43,2893,-216,1000
200000636,14:21:44,792,-1335,1000
200000638,14:21:44,-563,-39,1000
200000640,14:21:44,2785,-1462,1000
200000641,14:21:44,1162,-808,1000
200000654,14:21:44,-2127,-4967,1000
200000662,14:21:44,4670,-256,1000
200000639,14:21:44,2126,460,1000
200000661,14:21:44,629,-2765,1000
200000663,14:21:44,2893,-216,1000
200000636,14:21:45,489,-1452,1000
200000640,14:21:45,2785,-1462,1000
200000654,14:21:45,-1240,-4723,1000
200000662,14:21:45,4588,-590,1000
200000638,14:21:45,-929,-234,1000
200000641,14:21:45,1060,-1486,1000
200000663,14:21:45,2893,-216,1000
200000639,14:21:45,2070,42,1000
200000654,14:21:46,-1240,-4723,1000
200000661,14:21:45,629,-2765,1000
200000662,14:21:46,4588,-590,1000
200000636,14:21:46,489,-1452,1000
200000640,14:21:46,2785,-1462,1000
200000638,14:21:46,-929,-234,1000
200000641,14:21:46,1518,-1313,1000
200000663,14:21:46,2893,-216,1000
200000636,14:21:47,489,-1452,1000
200000639,14:21:47,2070,42,1000
200000654,14:21:47,-1240,-4723,1000
200000661,14:21:46,1030,-2952,1000
200000662,14:21:47,4588,-590,1000
200000640,14:21:47,2785,-1462,1000
200000638,14:21:47,-1507,-254,1000
200000641,14:21:47,1518,-1313,1000
200000663,14:21:47,2569,-341,1000
200000636,14:21:48,489,-1452,1000
200000639,14:21:48,1888,314,1000
200000654,14:21:48,-1240,-4723,1000
200000661,14:21:47,83,-3115,1000
200000662,14:21:48,4602,-162,1000
200000640,14:21:48,2785,-1462,1000
200000638,14:21:48,-1507,-254,1000
200000641,14:21:48,2700,-1136,1000
200000663,14:21:48,2716,141,1000
200000636,14:21:49,674,-1690,1000
200000639,14:21:49,1559,-61,1000
200000654,14:21:49,-1617,-4451,1000
200000661,14:21:48,1884,-3545,1000
200000662,14:21:49,4602,-162,1000
200000640,14:21:49,2785,-1462,1000
200000638,14:21:49,-1507,-254,1000
200000641,14:21:49,2700,-1136,1000
200000663,14:21:49,2716,141,1000
200000636,14:21:50,674,-1690,1000
200000639,14:21:50,1559,-61,1000
200000654,14:21:50,-1617,-4451,1000
200000661,14:21:50,3309,-3224,1000
200000662,14:21:50,4602,-162,1000
200000640,14:21:50,2785,-1462,1000
200000638,14:21:50,-731,-566,1000
200000638,14:21:58,-387,-2203,1000
200000663,14:21:58,3008,-538,1000
200000636,14:21:59,-587,-2209,1000
200000639,14:21:59,3666,-2412,1000
200000640,14:21:59,2816,-1423,1000
200000654,14:21:59,-1304,-4157,1000
200000661,14:21:59,5945,-1301,1000
200000662,14:21:59,3271,-173,1000
200000641,14:21:59,1755,-2186,1000
200000638,14:21:59,-205,-1851,1000
200000663,14:21:59,2676,-373,1000
200000640,14:22:00,2816,-1423,1000
200000636,14:22:00,-841,-2909,1000
200000639,14:22:00,3381,-2668,1000
200000654,14:22:00,,,
200000661,14:22:00,5713,-748,1000
200000662,14:22:00,2694,-361,1000
200000641,14:22:00,1442,-2355,1000
200000638,14:22:00,425,-1826,1000
200000663,14:22:00,2676,-373,1000
200000640,14:22:01,2816,-1423,1000
200000636,14:22:01,,,
200000639,14:22:01,3259,-3106,1000
200000654,14:22:01,,,
200000661,14:22:01,5473,-412,1000
200000662,14:22:01,1732,237,1000
200000641,14:22:01,994,-1958,1000
200000663,14:22:01,2676,-373,1000
200000638,14:22:01,287,-2824,1000
200000640,14:22:02,2816,-1423,1000
200000636,14:22:02,,,
200000639,14:22:02,2899,-3694,1000
200000654,14:22:02,,,
200000661,14:22:02,5167,-113,1000
200000662,14:22:02,1861,553,1000
200000641,14:22:02,1047,-2466,1000
200000663,14:22:02,2976,-260,1000
200000638,14:22:02,,,
200000640,14:22:02,2816,-1423,1000
200000636,14:22:03,,,
200000639,14:22:03,3272,-3034,1000
200000654,14:22:03,-1889,-3897,1000
200000661,14:22:03,4836,20,1000
200000662,14:22:03,1861,553,1000
200000641,14:22:03,847,-2951,1000
200000638,14:22:03,-1704,-3508,1000
200000663,14:22:03,2976,-260,1000
200000640,14:22:03,2816,-1423,1000
200000636,14:22:04,,,
200000639,14:22:04,3272,-3034,1000
200000641,14:22:04,,,
200000654,14:22:04,,,
200000661,14:22:04,4395,-443,1000
200000662,14:22:04,1420,603,1000
200000638,14:22:04,-1443,-4167,1000
200000663,14:22:04,2528,-124,1000
200000640,14:22:05,2816,-1423,1000
200000654,14:22:05,,,
200000662,14:22:05,1519,893,1000
200000636,14:22:05,,,
200000639,14:22:05,3272,-3034,1000
200000661,14:22:05,4316,-130,1000
200000638,14:22:05,,,
200000641,14:22:05,-658,-2675,1000
200000663,14:22:05,2766,103,1000
200000636,14:22:06,,,
200000639,14:22:06,3272,-3034,1000
200000640,14:22:06,2816,-1423,1000
200000654,14:22:06,,,
200000661,14:22:06,3160,-234,1000
200000662,14:22:06,1457,-987,1000
200000638,14:22:06,,,
200000641,14:22:06,122,-2843,1000
200000663,14:22:06,2734,-497,1000
200000639,14:22:07,2814,-3246,1000
200000640,14:22:07,2816,-1423,1000
200000654,14:22:07,,,
200000661,14:22:07,3160,-234,1000
200000662,14:22:07,1387,-1492,1000
200000636,14:22:07,-823,-869,1000
200000641,14:22:07,,,
200000638,14:22:07,,,
200000663,14:22:07,2734,-497,1000
200000636,14:22:08,,,
200000639,14:22:08,2073,-2749,1000
200000640,14:22:08,2816,-1423,1000
200000654,14:22:08,,,
200000661,14:22:08,2648,-122,1000
200000662,14:22:08,1102,-1906,1000
200000638,14:22:08,,,
200000641,14:22:08,,,
200000663,14:22:08,2374,-728,1000
200000636,14:22:09,,,
200000639,14:22:09,1507,-2806,1000
200000654,14:22:09,,,
200000661,14:22:09,2447,-729,1000
200000662,14:22:09,1102,-1906,1000
200000640,14:22:09,,,
200000663,14:22:09,2090,-398,1000
200000638,14:22:09,,,
200000641,14:22:09,,,
200000639,14:22:10,2358,-4340,1000
200000640,14:22:10,2816,-1423,1000
200000654,14:22:10,,,
200000661,14:22:10,2548,-426,1000
200000662,14:22:10,1102,-1906,1000
200000636,14:22:10,,,
200000641,14:22:10,-350,-3936,1000
200000638,14:22:10,,,
200000663,14:22:10,1923,-75,1000
200000639,14:22:11,,,
200000640,14:22:11,2816,-1423,1000
200000654,14:22:11,,,
200000661,14:22:11,3034,-106,1000
