version,tagId,timestamp,x,y,z,success,blinkIndex,latency,anchorid1,anchorid2,anchorid3,anchorid4,anchorid5,rss1,rss2,rss3,rss4,rss5,converted_date,time
2.1,200000641,1688737283.6658409,,,,False,472176,25,5018,5043,5077,5084,5094,-81,-84.0,-101.0,-88.0,-100.0,2023-07-07,08:41:23.665
2.1,200000636,1688737283.981562,,,,False,541683,30,5018,5043,5084,,,-82,-92.0,-120.0,,,2023-07-07,08:41:23.981
2.1,200000661,1688737284.373559,,,,False,5858,29,5018,5043,5077,5084,5094,-82,-84.0,-93.0,-84.0,-97.0,2023-07-07,08:41:24.373
2.1,200000637,1688737284.439875,,,,False,17593,19,5018,5043,5084,5094,,-82,-85.0,-89.0,-100.0,,2023-07-07,08:41:24.439
2.1,200000641,1688737284.669405,,,,False,472177,24,5018,5043,5077,5084,5094,-81,-84.0,-96.0,-86.0,-102.0,2023-07-07,08:41:24.669
2.1,200000662,1688737284.7456489,-9113.0,9181.0,1000.0,True,26693,25,5018,5043,5077,5084,5094,-83,-83.0,-93.0,-93.0,-90.0,2023-07-07,08:41:24.745
2.1,200000636,1688737284.9677298,,,,False,541684,20,5018,5043,5084,,,-88,-88.0,-92.0,,,2023-07-07,08:41:24.967
2.1,200000640,1688737285.1895049,,,,False,34060,20,5018,5043,5077,5084,5094,-81,-81.0,-87.0,-81.0,-88.0,2023-07-07,08:41:25.189
2.1,200000637,1688737285.456162,,,,False,17594,31,5018,5043,5077,5084,5094,-83,-84.0,-92.0,-87.0,-93.0,2023-07-07,08:41:25.456
2.1,200000641,1688737285.696939,,,,False,472178,26,5018,5043,5077,5084,5094,-81,-82.0,-89.0,-83.0,-89.0,2023-07-07,08:41:25.696
2.1,200000662,1688737285.7405028,-8341.0,10172.0,1000.0,True,26694,16,5018,5043,5077,5084,5094,-85,-81.0,-120.0,-88.0,-91.0,2023-07-07,08:41:25.740
2.1,200000636,1688737285.96112,,,,False,541685,23,5018,5043,5084,,,-82,-86.0,-96.0,,,2023-07-07,08:41:25.961
2.1,200000640,1688737286.209491,,,,False,34061,25,5018,5043,5077,5084,5094,-81,-82.0,-90.0,-84.0,-89.0,2023-07-07,08:41:26.209
2.1,200000637,1688737286.4265358,,,,False,17595,25,5018,5043,5077,5084,5094,-82,-82.0,-90.0,-84.0,-93.0,2023-07-07,08:41:26.426
2.1,200000641,1688737286.719941,,,,False,472179,25,5018,5043,5077,5084,5094,-81,-83.0,-92.0,-88.0,-100.0,2023-07-07,08:41:26.719
2.1,200000662,1688737286.7239668,-8484.0,9776.0,1000.0,True,26695,25,5018,5043,5077,5084,5094,-84,-83.0,-97.0,-87.0,-89.0,2023-07-07,08:41:26.723
2.1,200000636,1688737286.987967,,,,False,541686,21,5018,5043,5084,,,-83,-85.0,-95.0,,,2023-07-07,08:41:26.987
2.1,200000640,1688737287.217052,,,,False,34062,24,5018,5043,5077,5084,5094,-85,-84.0,-94.0,-84.0,-94.0,2023-07-07,08:41:27.217
2.1,200000637,1688737287.4063768,,,,False,17596,23,5018,5043,5077,5084,5094,-82,-84.0,-89.0,-85.0,-92.0,2023-07-07,08:41:27.406
2.1,200000641,1688737287.725117,-12480.0,13740.0,1000.0,True,472180,26,5018,5043,5077,5084,5094,-82,-83.0,-102.0,-86.0,-94.0,2023-07-07,08:41:27.725
2.1,200000662,1688737287.731946,-8484.0,9776.0,1000.0,True,26696,23,5018,5043,5077,5084,5094,-84,-82.0,-100.0,-87.0,-95.0,2023-07-07,08:41:27.731
2.1,200000636,1688737287.997843,,,,False,541687,32,5018,5043,5084,5094,,-84,-87.0,-92.0,-90.0,,2023-07-07,08:41:27.997
2.1,200000637,1688737288.4007728,,,,False,17597,31,5018,5043,5077,5084,5094,-82,-86.0,-105.0,-91.0,-91.0,2023-07-07,08:41:28.400
2.1,200000641,1688737288.736702,-12757.0,14014.0,1000.0,True,472181,30,5018,5043,5077,5084,5094,-82,-83.0,-97.0,-89.0,-87.0,2023-07-07,08:41:28.736
2.1,200000636,1688737289.017184,,,,False,541688,29,5018,5043,5084,5094,,-83,-87.0,-89.0,-86.0,,2023-07-07,08:41:29.017
2.1,200000637,1688737289.385879,,,,False,17598,22,5018,5043,5077,5084,5094,-82,-84.0,-94.0,-86.0,-83.0,2023-07-07,08:41:29.385
2.1,200000641,1688737289.767895,-13033.0,14235.0,1000.0,True,472182,17,5018,5043,5077,5084,5094,-81,-85.0,-93.0,-87.0,-89.0,2023-07-07,08:41:29.767
2.1,200000636,1688737290.053454,-13259.0,14153.0,1000.0,True,541689,21,5018,5043,5077,5084,5094,-83,-86.0,-97.0,-96.0,-90.0,2023-07-07,08:41:30.053
2.1,200000637,1688737290.373627,,,,False,17599,19,5018,5043,5077,5084,5094,-81,-84.0,-88.0,-87.0,-86.0,2023-07-07,08:41:30.373
2.1,200000641,1688737290.773264,,,,False,472183,30,5018,5043,5077,5084,5094,-81,-84.0,-90.0,-87.0,-88.0,2023-07-07,08:41:30.773
2.1,200000636,1688737291.063916,,,,False,541690,19,5018,5043,5084,5094,,-81,-88.0,-89.0,-99.0,,2023-07-07,08:41:31.063
2.1,200000637,1688737291.3540008,,,,False,17600,16,5018,5043,5077,5084,5094,-81,-82.0,-92.0,-87.0,-89.0,2023-07-07,08:41:31.354
2.1,200000636,1688737292.07986,-13539.0,14295.0,1000.0,True,541691,30,5018,5043,5077,5084,5094,-82,-84.0,-96.0,-96.0,-89.0,2023-07-07,08:41:32.079
2.1,200000637,1688737292.3479478,,,,False,17601,26,5018,5043,5077,5084,5094,-82,-82.0,-95.0,-86.0,-85.0,2023-07-07,08:41:32.347
